Check #,Check Name,Check Description,Error Level,Check Type,NCD
0,An undocumented Critical QA Check has failed.,An undocumented Critical QA Check has failed.,Warning,Duplication,no
11,Inventory Year Present,An inventory year must be reported in a file submission.,Critical,Present,no
13,Facility Site Identifiers Present,There must be a facility site identifier and system code when reporting the Facility Site component. The Facility Site and all dependent data will not be stored if this identifier is missing or not valid.,Critical,Present,no
14,EIS Facility Site Identifier Exists,"If the EIS facility site identifier is reported, it must match a record in the EIS facility inventory.",Critical,Conditional,no
17,Emissions Unit Identifiers Present,There must be an emissions unit identification component reported when reporting the emissions unit. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
18,Emission Release Point Identifiers Present,Either the EIS emission release point identifier or the agency emission release point identifier is required when reporting the release point component. Both identifiers may be reported. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
23,State and County FIPS Code Valid,Must match value in code list.,Critical,Code,no
25,Tribal Code Valid,Must match value in code list.,Critical,Code,no
26,State and Country Code Valid,Must match value in code list.,Critical,Code,no
29,NAICS Code Valid,Must match active valid value in EIS code list.,Critical,Code,no
30,Facility Category Code Valid,Must match value in code list.,Critical,Code,no
33,Facility Site Status Code Valid,Must match value in code list.,Critical,Code,no
34,Facility Site Status Code Year Range,The year reported should be between 1900 to 2050.,Critical,Range,no
35,Facility Site Status Code and Year,"If facility site status code is not ""Operating"" (OP), the facility site status code year must be reported.",Critical,Conditional,no
36,Facility Site Name and Company Name Uniqueness,"If company name, facility site name, and the state and county FIPS, tribal code, or state and country FIPS are provided, the combination of these three data elements should be unique.",Warning,Conditional,no
37,Address Postal Code Length,"Regardless of location, the address postal code must be between 5 and 10 characters long.",Critical,Format,no
38,Location Address State Code Valid,Must match value in code list.,Critical,Code,no
39,Location Address State Code Present,The location address state code is required when reporting the address component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
40,Location Address Text Present,The location address text is required when reporting the address component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
41,Locality Name Present,The locality name is required when reporting the address component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
44,Effective Date Range for Alternative Facility Name,The effective date range for an alternative facility name is 01/01/1900 to 12/31/2050.,Critical,Range,no
47,Effective Date Range for Facility Identification,The effective date range must be between 01/01/1900 to 12/31/2050.,Critical,Range,no
49,End Date Range for Facility Identification,The end date range must between 01/01/1900 to 12/31/2050.,Critical,Range,no
51,Effective Date and End Date Order for Facility Identification,The effective date must be before the end date for an facility identification.,Critical,Range,no
55,Horizontal Collection Method Code Valid,Must match value in code list.,Critical,Code,no
56,Horizontal Reference Datum Code Valid,Must match value in code list.,Critical,Code,no
58,Geographic Reference Point Code Valid,Must match value in code list.,Critical,Code,no
59,Vertical Collection Method Code Valid,Must match value in code list.,Critical,Code,no
60,Vertical Reference Datum Code Valid,Must match value in code list.,Critical,Code,no
61,Verification Method Code Valid,Must match value in code list.,Critical,Code,no
62,Coordinate Data Source Code Valid,Must match value in code list.,Critical,Code,no
63,Geometric Type Code Valid,Must match value in code list.,Critical,Code,no
66,EIS Emissions Unit Identifier Exists,Must match an EIS emissions unit identifier.,Critical,Conditional,no
67,Unit Type Code Present,The unit type code is required when reporting the EmissionsUnit component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
68,Unit Type Code Valid,Must match value in code list.,Critical,Code,no
69,Design Capacity Conditionally Present,"The design capacity should be reported for unit type codes: 100, 120, 140, 160, and 180",Warning,Present,no
70,Design Capacity Unit of Measure Present,Design capacity and design capacity unit of measure must both be reported for either to be accepted.,Critical,Present,no
71,Design Capacity Unit of Measure Code Valid,Must match value in code list.,Critical,Code,no
72,Emissions Unit Status Code Valid,Must match value in code list.,Critical,Code,no
73,Emissions Unit Status Code Year in Range,The year reported should be between 1900 to 2050.,Critical,Range,no
74,Emissions Unit Status Code and Year,"If emissions unit status code is not ""Operating"" (OP), the emissions unit status code year must be reported.",Critical,Conditional,no
75,Emissions Unit Operation Date Range,The operation date should be between 01/01/1900 to 12/31/2050.,Critical,Range,no
83,Effective Date Range for Unit Identification,The effective date range must be between 01/01/1900 to 12/31/2050.,Critical,Range,no
85,End Date Range for Unit Identification,The end date must be between 01/01/1900 to 12/31/2050.,Critical,Range,no
87,Effective Date and End Date Order for  Unit Identification,The effective date must be before the end date for an unit identification.,Critical,Range,no
90,SCC Valid,Must match value in code list.,Critical,Code,no
94,Last Emissions Year for Process Range,The year reported should be between 1900 to 2050.,Critical,Range,no
99,EIS Emission Release Point Identifier Exists,Must match an EIS emission release point identifier.,Critical,Conditional,no
100,Release Point Type Code Valid,Must match value in code list.,Critical,Code,no
101,Release Point Type Code Present for Release Points,The release point type code is required when reporting the release point component. The component and all dependent data will not be stored if there are missing required data.,Critical,Present,no
102,Release Point Exit Gas Flow Rate Unit of Measure Present,Exit gas flow rate and exit gas flow rate unit of measure must both be reported for either to be accepted.,Critical,Present,no
103,Release Point Exit Gas Velocity Unit of Measure Present,Exit gas velocity and exit gas velocity unit of measure must both be reported for either to be accepted.,Critical,Present,no
106,Average Percent Emissions Range,"Must be greater than or equal to 1.0, and less than or equal to 100.0.",Critical,Range,no
108,Complete Release Point Apportionment,"If the release point apportionment is reported, the total percent emissions apportionment reported from a single process must equal 100%. ",Critical,Calculation,no
110,Regulatory Code Valid,Must match value in code list.,Critical,Code,no
111,Agency Code Text for Regulations,If the regulatory code indicates it is a non Federal or a State program then the agency code text is required.,Critical,Conditional,no
115,Percent Control Approach Capture Efficiency Range,"Should be greater than or equal to 5, and less than or equal to 100.0.",Critical,Range,no
116,Percent Control Approach Effectiveness Range,"Should be greater than or equal to 1, and less than or equal to 100.0.",Critical,Range,no
